Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
7511	20	0.00	0	-0.29	29.90	0	0	0	0	0	0	
7566	20	0.00	0	-1.26	29.90	0	0	0	0	0	0	
7618	20	0.00	0	-1.35	29.90	0	0	0	0	0	0	
7672	20	0.00	0	-1.26	29.90	0	0	0	0	0	0	
7724	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
7780	20	0.00	0	-1.26	29.90	0	0	0	0	0	0	
7833	20	0.00	0	-0.03	29.90	0	0	0	0	0	0	
7886	20	0.00	0	-1.26	29.90	0	0	0	0	0	0	
7939	20	0.00	0	-1.17	29.90	0	0	0	0	0	0	
7991	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
8044	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
8101	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
8153	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
8208	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
8261	20	0.00	0	-1.00	29.90	0	0	0	0	0	0	
8314	20	0.00	0	-1.17	29.90	0	0	0	0	0	0	
8367	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
8423	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
8475	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
8529	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
8581	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
8634	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
8686	20	0.00	0	-1.00	29.90	0	0	0	0	0	0	
8743	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
8796	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
8848	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
8903	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
8957	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
9013	20	0.00	0	-1.00	29.90	0	0	0	0	0	0	
9065	20	0.00	0	-1.35	29.90	0	0	0	0	0	0	
9118	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
9171	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
9224	20	0.00	0	0.06	29.90	0	0	0	0	0	0	
9276	20	0.00	0	-0.12	29.90	0	0	0	0	0	0	
9332	20	0.00	0	-0.29	29.90	0	0	0	0	0	0	
9385	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
9438	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
9491	20	0.00	0	-0.12	29.90	0	0	0	0	0	0	
9543	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
9599	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
9655	20	0.00	0	-0.12	29.90	0	0	0	0	0	0	
9707	20	0.00	0	-0.29	29.90	0	0	0	0	0	0	
9760	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
9813	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
9866	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
9918	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
9974	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
10028	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
10080	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
10133	20	0.00	0	0.33	29.90	0	0	0	0	0	0	
10185	20	0.00	0	0.68	29.90	0	0	0	0	0	0	
10239	20	0.00	0	0.68	29.90	0	0	0	0	0	0	
10297	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
10349	20	0.00	0	-0.38	29.90	0	0	0	0	0	0	
10403	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
10455	20	0.00	0	-0.12	29.90	0	0	0	0	0	0	
10508	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
10563	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
10617	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
10669	20	0.00	0	-1.00	29.90	0	0	0	0	0	0	
10722	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
10774	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
10826	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
10883	20	0.00	0	-0.47	30.00	0	0	0	0	0	0	
10945	20	0.00	0	-0.12	29.90	0	0	0	0	0	0	
11001	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
11055	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
11110	20	0.00	0	-0.29	30.00	0	0	0	0	0	0	
11168	20	0.00	0	-0.73	30.00	0	0	0	0	0	0	
11223	20	0.00	0	-0.73	30.00	0	0	0	0	0	0	
11278	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
11332	20	0.00	0	-0.29	30.00	0	0	0	0	0	0	
11388	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
11442	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
11500	20	0.00	0	-1.00	30.00	0	0	0	0	0	0	
11555	20	0.00	0	-1.62	30.00	0	0	0	0	0	0	
11610	20	0.00	0	-0.29	30.00	0	0	0	0	0	0	
11667	20	0.00	0	-0.03	30.00	0	0	0	0	0	0	
11721	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
11780	20	0.00	0	-1.17	30.00	0	0	0	0	0	0	
11835	20	0.00	0	-0.03	30.00	0	0	0	0	0	0	
11890	20	0.00	0	-0.21	30.00	0	0	0	0	0	0	
11945	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
12000	20	0.00	0	-0.73	30.00	0	0	0	0	0	0	
12054	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
12113	20	0.00	0	-1.00	30.00	0	0	0	0	0	0	
12168	20	0.00	0	-1.00	30.00	0	0	0	0	0	0	
12223	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
12277	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
12335	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
12390	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
12448	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
12503	20	0.00	0	-0.47	30.00	0	0	0	0	0	0	
12558	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
12612	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
12668	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
12722	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
12780	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
12836	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
12890	20	0.00	0	0.06	30.00	0	0	0	0	0	0	
12945	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
12999	20	0.00	0	-0.03	30.00	0	0	0	0	0	0	
13060	20	0.00	0	-0.12	30.00	0	0	0	0	0	0	
13115	20	0.00	0	-0.21	30.00	0	0	0	0	0	0	
13169	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
13225	20	0.00	0	-0.03	30.00	0	0	0	0	0	0	
13279	20	0.00	0	-0.47	30.00	0	0	0	0	0	0	
13334	20	0.00	0	-0.03	30.00	0	0	0	0	0	0	
13393	20	0.00	0	-0.21	30.00	0	0	0	0	0	0	
13447	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
13502	20	0.00	0	-1.44	30.00	0	0	0	0	0	0	
13556	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
13612	20	0.00	0	-0.38	30.00	0	0	0	0	0	0	
13666	20	0.00	0	-1.09	30.00	0	0	0	0	0	0	
13726	20	0.00	0	0.06	30.00	0	0	0	0	0	0	
13782	20	0.00	0	-1.09	30.00	0	0	0	0	0	0	
13836	20	0.00	0	-0.56	30.00	0	0	0	0	0	0	
13891	20	0.00	0	-1.26	30.00	0	0	0	0	0	0	
13947	20	0.00	0	-1.26	30.00	0	0	0	0	0	0	
14001	20	0.00	0	-0.64	30.00	0	0	0	0	0	0	
14076	20	0.00	0	-1.00	30.00	0	0	0	0	0	0	
14155	20	0.00	0	-1.35	30.00	0	0	0	0	0	0	
14211	20	0.00	0	-1.09	30.00	0	0	0	0	0	0	
14266	20	0.00	0	-1.09	30.00	0	0	0	0	0	0	
14321	20	0.00	-1	-1.26	30.00	0	0	0	0	0	0	
14377	20	0.00	-1	-1.26	30.10	0	0	0	0	0	0	
14436	20	0.00	-1	-1.09	30.00	0	0	0	0	0	0	
14493	20	0.00	-1	-1.35	30.00	0	0	0	0	0	0	
14549	20	0.00	-1	-0.56	30.00	0	0	0	0	0	0	
14604	20	0.00	-1	-1.09	30.00	0	0	0	0	0	0	
14659	20	0.00	-1	-1.09	30.10	0	0	0	0	0	0	
14718	20	0.00	-1	-1.26	30.10	0	0	0	0	0	0	
14773	20	0.00	-1	-0.64	30.00	0	0	0	0	0	0	
14828	20	0.00	-1	-1.00	30.00	0	0	0	0	0	0	
14884	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
14939	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
14993	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
15052	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
15108	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
15165	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
15220	20	0.00	0	-1.09	30.10	0	0	0	0	0	0	
15276	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
15331	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
15390	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
15445	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
15500	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
15555	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
15611	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
15666	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
15724	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
15780	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
15834	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
15892	20	0.00	0	-1.26	30.10	0	0	0	0	0	0	
15947	20	0.00	0	-0.29	30.10	0	0	0	0	0	0	
16006	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
16061	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
16116	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
16171	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
16226	20	0.00	0	-1.09	30.10	0	0	0	0	0	0	
16281	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
16340	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
16395	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
16450	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
16506	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
16563	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
16618	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
16677	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
16732	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
16787	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
16841	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
16897	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
16952	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
17010	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
17066	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
17121	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
17176	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
17232	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
17284	20	0.00	0	-1.09	30.10	0	0	0	0	0	0	
17343	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
17398	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
17453	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
17508	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
17563	20	0.00	0	-1.09	30.10	0	0	0	0	0	0	
17619	20	0.00	-1	-1.70	30.10	0	0	0	0	0	0	
17677	20	0.00	-1	-1.00	30.10	0	0	0	0	0	0	
17732	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
17788	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
17843	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
17897	20	0.00	0	-1.44	30.10	0	0	0	0	0	0	
17959	20	0.00	0	-0.64	30.10	0	0	0	0	0	0	
18014	20	0.00	0	-1.00	30.10	0	0	0	0	0	0	
18069	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
18124	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
18179	20	0.00	0	-1.17	30.10	0	0	0	0	0	0	
18234	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
18293	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
18348	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
18403	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
18458	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
18514	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
18569	20	0.00	0	-0.47	30.10	0	0	0	0	0	0	
18629	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
18685	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
18740	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
18795	20	0.00	0	-0.12	30.10	0	0	0	0	0	0	
18851	20	0.00	0	0.24	30.10	0	0	0	0	0	0	
18905	20	0.00	0	-0.29	30.10	0	0	0	0	0	0	
18964	20	0.00	0	-0.12	30.10	0	0	0	0	0	0	
19018	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
19074	20	0.00	0	0.06	30.10	0	0	0	0	0	0	
19129	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
19184	20	0.00	0	0.15	30.10	0	0	0	0	0	0	
19240	20	0.00	0	-0.03	30.10	0	0	0	0	0	0	
19298	20	0.00	0	-0.12	30.10	0	0	0	0	0	0	
19355	20	0.00	0	0.15	30.10	0	0	0	0	0	0	
19411	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
19466	20	0.00	0	-0.12	30.10	0	0	0	0	0	0	
19520	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
19579	20	0.00	0	0.15	30.10	0	0	0	0	0	0	
19634	20	0.00	0	0.24	30.10	0	0	0	0	0	0	
19689	20	0.00	0	0.06	30.10	0	0	0	0	0	0	
19744	20	0.00	0	0.24	30.10	0	0	0	0	0	0	
19799	20	0.00	0	-0.56	30.10	0	0	0	0	0	0	
19854	20	0.00	0	0.06	30.10	0	0	0	0	0	0	
19912	20	0.00	0	-0.73	30.10	0	0	0	0	0	0	
19968	20	0.00	0	-0.21	30.10	0	0	0	0	0	0	
20023	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
