Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
9373	20	0.00	0	-0.15	28.10	2	-7	0	53	-1541	802	
9432	20	0.00	0	0.73	28.10	1	-7	1	-159	807	318	
9487	20	0.00	0	0.29	28.10	1	-7	1	-102	-342	-56	
9543	20	0.00	0	0.47	28.20	1	-7	0	-158	-5103	-868	
9598	20	0.00	0	0.03	28.10	1	-8	0	-1111	8807	-823	
9662	20	0.00	0	-0.42	28.10	3	-8	-1	84	-1035	598	
9724	20	0.00	0	0.03	28.10	1	-6	3	-714	4254	-626	
9781	20	0.00	0	-0.42	28.10	0	-7	2	208	-1631	142	
9838	20	0.00	0	0.29	28.10	0	-8	1	-94	-1755	204	
9896	20	0.00	0	0.29	28.10	0	-7	2	-617	1027	-350	
9953	20	0.00	0	0.38	28.20	0	-7	2	-207	-722	-201	
10011	20	0.00	0	0.03	28.20	-1	-8	3	-477	-3038	-1270	
10072	20	0.00	0	-0.15	28.20	0	-7	2	-183	-873	-136	
10129	20	0.00	0	0.20	28.20	1	-8	1	-422	739	817	
10187	20	0.00	0	0.12	28.20	-7	-14	4	-224	-7165	-1939	
10247	20	0.00	0	0.47	28.20	2	-7	0	-178	1907	702	
10304	20	0.00	0	0.29	28.20	2	-7	1	-245	-437	361	
10366	20	0.00	0	0.29	28.20	1	-7	2	-13	-1396	-488	
10423	20	0.00	0	-0.33	28.20	3	-7	0	-30	629	467	
10481	20	0.00	0	-0.33	28.20	2	-7	1	-474	-1111	499	
10538	20	0.00	0	-0.15	28.20	1	-8	2	-189	-1687	384	
10595	20	0.00	0	-0.15	28.20	2	-7	1	169	-705	414	
10653	20	0.00	0	-0.59	28.20	0	-8	1	130	-914	36	
10714	20	0.00	0	-0.42	28.20	0	-7	1	-445	379	-245	
10771	20	0.00	0	-0.59	28.20	1	-7	1	-624	176	-8	
10829	20	0.00	0	-0.59	28.20	1	-8	2	-443	274	60	
10889	20	0.00	0	0.12	28.20	1	-7	1	14	-514	262	
10946	20	0.00	0	-0.33	28.20	1	-7	1	79	-912	262	
11004	20	0.00	0	-0.42	28.20	1	-7	1	-165	-512	228	
11065	20	0.00	0	0.20	28.20	1	-7	1	-443	81	72	
11123	20	0.00	0	-0.42	28.20	1	-7	1	-508	353	-125	
11180	20	0.00	0	0.20	28.20	1	-7	1	-315	109	-146	
11237	20	0.00	0	0.12	28.20	1	-7	1	-195	-150	78	
11295	20	0.00	0	0.20	28.20	1	-7	1	-155	-500	333	
