Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
18002	20	0.00	0	-0.86	16.30	0	7	0	-208	-241	-31	
18120	20	0.00	0	-0.23	16.30	0	7	0	-219	-226	-4	
18231	20	0.00	0	-0.32	16.30	0	7	0	-227	-256	1	
18342	20	0.00	0	-0.23	16.30	0	7	0	-201	-202	-31	
18452	20	0.00	0	-0.50	16.30	0	7	0	-208	-233	-9	
18564	20	0.00	0	-0.41	16.30	0	7	0	-220	-248	11	
18674	20	0.00	0	-0.59	16.30	0	7	0	-194	-211	-33	
18785	20	0.00	0	-0.32	16.40	0	7	0	-215	-221	-11	
18896	20	0.00	0	-0.23	16.30	0	7	0	-226	-240	-6	
19007	20	0.00	0	-0.50	16.30	0	7	0	-206	-223	-11	
19118	20	0.00	0	-0.41	16.30	0	7	0	-217	-219	-9	
19235	20	0.00	0	-0.50	16.30	0	7	0	-230	-223	-8	
19346	20	0.00	0	-0.23	16.40	0	7	0	-204	-236	-20	
19457	20	0.00	0	0.13	16.40	0	7	0	-225	-227	-21	
19566	20	0.00	0	-0.06	16.40	0	7	0	-222	-200	11	
19678	20	0.00	0	-0.23	16.40	0	7	0	-192	-230	-23	
19788	20	0.00	0	-0.15	16.40	0	7	0	-207	-237	1	
19899	20	0.00	0	0.21	16.40	0	7	0	-210	-184	-31	
20010	20	0.00	0	0.04	16.40	0	7	0	-206	-229	-24	
20119	20	0.00	0	-0.23	16.40	0	7	0	-216	-262	-20	
20230	20	0.00	0	0.30	16.40	0	7	0	-246	-223	-10	
20340	20	0.00	0	0.21	16.40	0	7	0	-223	-267	-40	
20456	20	0.00	0	0.13	16.40	0	7	0	-209	-231	-12	
20567	20	0.00	0	0.39	16.40	0	7	0	-232	-232	-8	
20676	20	0.00	0	0.21	16.40	0	7	0	-222	-196	-20	
20786	20	0.00	0	-0.15	16.40	0	7	0	-209	-192	-20	
20896	20	0.00	0	0.13	16.40	0	7	0	-230	-210	2	
21006	20	0.00	0	0.04	16.40	0	7	0	-217	-225	-28	
21117	20	0.00	0	0.13	16.40	0	7	0	-212	-251	-9	
21226	20	0.00	0	-0.68	16.40	0	7	0	-246	-229	-9	
21337	20	0.00	0	-0.23	16.40	0	7	0	-213	-193	-12	
21447	20	0.00	0	-0.15	16.40	0	7	0	-209	-180	-33	
21559	20	0.00	0	0.13	16.40	0	7	0	-208	-194	1	
21675	20	0.00	0	-0.23	16.40	0	7	0	-189	-191	-30	
21786	20	0.00	0	0.21	16.40	0	7	0	-213	-202	-21	
21896	20	0.00	0	0.39	16.40	0	7	0	-235	-266	22	
22006	20	0.00	0	0.30	16.40	0	7	0	-221	-224	-26	
22116	20	0.00	0	-0.15	16.40	0	7	0	-208	-249	-5	
22227	20	0.00	0	-0.15	16.40	0	7	0	-215	-219	-16	
22337	20	0.00	0	-0.23	16.40	0	7	0	-220	-250	-35	
22449	20	0.00	0	0.13	16.40	0	7	0	-231	-219	-23	
22558	20	0.00	0	0.21	16.40	0	7	0	-207	-209	-4	
22668	20	0.00	0	0.04	16.40	0	7	0	-219	-240	-12	
22839	20	0.00	0	-0.06	16.40	0	7	0	-233	-217	-9	
22951	20	0.00	0	-0.86	16.40	0	7	0	-217	-229	6	
23061	20	0.00	0	-0.23	16.40	0	7	0	-214	-249	-17	
23172	20	0.00	0	0.04	16.40	0	7	0	-207	-204	-53	
23281	20	0.00	0	-0.68	16.40	0	7	0	-208	-182	12	
23392	20	0.00	0	-0.77	16.40	0	7	0	-214	-191	-27	
23504	20	0.00	0	-0.68	16.40	0	7	0	-207	-194	-1	
23614	20	0.00	0	-0.15	16.40	0	7	0	-216	-242	8	
23725	20	0.00	0	-0.23	16.40	0	7	0	-208	-239	-3	
23836	20	0.00	0	-0.32	16.40	0	7	0	-208	-230	-37	
23947	20	0.00	0	-0.23	16.40	0	7	0	-225	-190	-36	
24065	20	0.00	0	-0.32	16.40	0	7	0	-200	-212	-28	
24175	20	0.00	0	-0.15	16.40	0	7	0	-194	-182	-23	
24287	20	0.00	0	-0.32	16.40	0	7	0	-220	-216	-19	
24397	20	0.00	0	-0.32	16.40	0	7	0	-171	-222	-24	
24508	20	0.00	0	0.04	16.40	0	7	0	-223	-238	-29	
24618	20	0.00	0	-0.50	16.40	0	7	0	-251	-214	-12	
24729	20	0.00	0	-0.32	16.40	0	7	0	-215	-218	-11	
24840	20	0.00	0	-0.50	16.40	0	7	0	-209	-217	-4	
24950	20	0.00	0	-0.41	16.50	0	7	0	-248	-188	-30	
25061	20	0.00	0	0.13	16.40	0	7	0	-204	-228	-21	
25172	20	0.00	0	-0.59	16.50	0	7	0	-211	-238	-2	
25288	20	0.00	0	-0.68	16.50	0	7	0	-229	-262	-12	
25400	20	0.00	0	-0.32	16.40	0	7	0	-247	-219	-43	
25511	20	0.00	0	-0.41	16.50	0	7	0	-209	-206	-2	
25621	20	0.00	0	0.13	16.50	0	7	0	-242	-228	-5	
25732	20	0.00	0	-0.41	16.40	0	7	0	-214	-224	-21	
25842	20	0.00	0	-0.86	16.50	0	7	0	-205	-216	2	
25954	20	0.00	0	-0.32	16.50	0	7	0	-201	-215	-7	
26065	20	0.00	0	-0.32	16.50	0	7	0	-209	-244	-31	
26175	20	0.00	0	-0.41	16.50	0	7	0	-197	-233	-21	
26286	20	0.00	0	-0.23	16.50	0	7	0	-221	-213	-1	
26403	20	0.00	0	-0.15	16.50	0	7	0	-225	-223	-34	
26514	20	0.00	0	-0.32	16.50	0	7	0	-205	-190	-30	
26626	20	0.00	0	-0.23	16.50	0	7	0	-212	-222	27	
26736	20	0.00	0	-0.23	16.50	0	7	0	-222	-221	-29	
26848	20	0.00	0	-0.41	16.50	0	7	0	-225	-231	-20	
26959	20	0.00	0	0.21	16.50	0	7	0	-207	-208	21	
27068	20	0.00	0	0.04	16.50	0	7	0	-215	-234	-29	
27179	20	0.00	0	-0.06	16.50	0	7	0	-221	-256	-12	
27289	20	0.00	0	0.13	16.50	0	7	0	-212	-176	15	
27399	20	0.00	0	0.04	16.50	0	7	0	-213	-234	-6	
27508	20	0.00	0	-0.68	16.50	0	7	0	-218	-237	-9	
27626	20	0.00	0	-0.06	16.50	0	7	0	-210	-247	15	
27737	20	0.00	0	-0.41	16.50	0	7	0	-198	-237	-36	
27848	20	0.00	0	0.13	16.50	0	7	0	-217	-222	-37	
27958	20	0.00	0	-0.41	16.50	0	7	0	-221	-220	-24	
28069	20	0.00	0	-0.32	16.50	0	7	0	-204	-199	-25	
28234	20	0.00	0	-0.32	16.50	0	7	0	-218	-203	-13	
28345	20	0.00	0	-0.32	16.50	0	7	0	-223	-230	-2	
28456	20	0.00	0	-0.68	16.50	0	7	0	-213	-231	-24	
28566	20	0.00	0	-0.68	16.50	0	7	0	-231	-241	-28	
28678	20	0.00	0	-0.77	16.50	0	7	0	-210	-200	14	
28796	20	0.00	0	-0.41	16.50	0	7	0	-221	-232	-15	
28906	20	0.00	0	-0.59	16.50	0	7	0	-217	-204	-10	
29018	20	0.00	0	-0.68	16.50	0	7	0	-220	-210	9	
29128	20	0.00	0	-0.50	16.50	0	7	0	-211	-234	-16	
29239	20	0.00	0	-0.23	16.50	0	7	0	-210	-225	-15	
29350	20	0.00	0	-0.32	16.50	0	7	0	-224	-226	-13	
29461	20	0.00	0	0.13	16.50	0	7	0	-199	-221	-13	
29571	20	0.00	0	-0.50	16.50	0	7	0	-221	-249	2	
29681	20	0.00	0	-0.32	16.50	0	7	0	-234	-226	-7	
29792	20	0.00	0	-0.15	16.50	0	7	0	-184	-211	-13	
29904	20	0.00	0	-0.23	16.50	0	7	0	-216	-223	-23	
30020	20	0.00	0	-0.41	16.50	0	7	0	-243	-235	-9	
30132	20	0.00	0	-0.50	16.50	0	7	0	-213	-205	-25	
30242	20	0.00	0	-0.68	16.50	0	7	0	-224	-205	-16	
30353	20	0.00	0	-0.41	16.50	0	7	0	-229	-201	-28	
30464	20	0.00	0	-0.41	16.50	0	7	0	-229	-232	-13	
30575	20	0.00	0	-0.59	16.50	0	7	0	-189	-261	-13	
30687	20	0.00	0	-0.68	16.50	0	7	0	-214	-261	-14	
30797	20	0.00	0	-0.95	16.50	0	7	0	-215	-223	-6	
30908	20	0.00	0	-0.86	16.50	0	7	0	-210	-189	0	
31019	20	0.00	0	-0.41	16.50	0	7	0	-201	-211	0	
31136	20	0.00	0	-1.04	16.50	0	7	0	-207	-219	-20	
31247	20	0.00	0	-0.86	16.50	0	7	0	-211	-226	-28	
31359	20	0.00	0	-0.86	16.50	0	7	0	-223	-234	-6	
31469	20	0.00	0	-0.32	16.50	0	7	0	-222	-224	-18	
31580	20	0.00	0	-0.59	16.50	0	7	0	-216	-230	-28	
31690	20	0.00	0	-0.86	16.50	0	7	0	-213	-209	-18	
31802	20	0.00	0	-0.86	16.50	0	7	0	-228	-237	-28	
31913	20	0.00	0	-0.95	16.60	0	7	0	-190	-216	-18	
32023	20	0.00	0	-0.86	16.50	0	7	0	-230	-229	3	
32134	20	0.00	0	-0.68	16.50	0	7	0	-215	-261	-20	
32245	20	0.00	0	-0.23	16.50	0	7	0	-211	-206	-35	
32363	20	0.00	0	-0.23	16.50	0	7	0	-211	-225	-15	
32474	20	0.00	0	-0.50	16.50	0	7	0	-208	-231	-26	
32585	20	0.00	0	-0.32	16.50	0	7	0	-227	-245	-12	
32696	20	0.00	0	-0.41	16.50	0	7	0	-209	-248	-6	
32807	20	0.00	0	-0.06	16.50	0	7	0	-228	-249	-14	
32917	20	0.00	0	-0.32	16.60	0	7	0	-230	-219	-18	
33029	20	0.00	0	-0.06	16.50	0	7	0	-207	-177	-14	
33139	20	0.00	0	-0.50	16.60	0	7	0	-203	-202	-22	
33250	20	0.00	0	-0.59	16.50	0	7	0	-213	-240	-4	
33362	20	0.00	0	0.04	16.60	0	7	0	-230	-218	-14	
33471	20	0.00	0	-0.50	16.60	0	7	0	-206	-238	-4	
33580	20	0.00	0	-0.32	16.50	0	7	0	-190	-230	6	
33746	20	0.00	0	-0.59	16.50	0	7	0	-219	-239	-5	
33857	20	0.00	0	0.04	16.60	0	7	0	-202	-247	-8	
33967	20	0.00	0	-0.86	16.60	0	7	0	-211	-231	-22	
34077	20	0.00	0	-0.95	16.60	0	7	0	-203	-237	-5	
34188	20	0.00	0	-0.86	16.60	0	7	0	-204	-209	-43	
34300	20	0.00	0	-0.50	16.60	0	7	0	-202	-204	-19	
34410	20	0.00	0	-0.32	16.60	0	7	0	-218	-207	-19	
34522	20	0.00	0	-0.41	16.60	0	7	0	-196	-226	-10	
34632	20	0.00	0	-0.59	16.60	0	7	0	-221	-242	-6	
34750	20	0.00	0	-0.77	16.60	0	7	0	-219	-239	-8	
34861	20	0.00	0	-0.50	16.60	0	7	0	-218	-209	-4	
34971	20	0.00	0	-0.59	16.60	0	7	0	-228	-234	-27	
35083	20	0.00	0	-0.68	16.60	0	7	0	-216	-220	-16	
35194	20	0.00	0	-0.32	16.60	0	7	0	-239	-230	-16	
35304	20	0.00	0	-1.13	16.60	0	7	0	-209	-214	-19	
35415	20	0.00	0	-0.95	16.60	0	7	0	-239	-252	5	
35526	20	0.00	0	-0.95	16.60	0	7	0	-205	-248	-14	
35637	20	0.00	0	-0.32	16.60	0	7	0	-197	-211	-12	
35747	20	0.00	0	-0.68	16.60	0	7	0	-211	-215	0	
35859	20	0.00	0	-0.68	16.60	0	7	0	-213	-232	-14	
35976	20	0.00	0	-0.59	16.60	15	-16	15	-26513	-32768	-7203	
36087	20	0.00	0	0.84	16.60	0	15	-14	7052	-32768	-6670	
36198	20	0.00	3	20.37	16.60	14	15	13	3126	-32768	-1302	
36309	40	0.00	14	58.12	16.60	-2	-16	-3	2279	-32768	9187	
36428	40	0.00	24	61.80	16.60	10	-16	-1	-2971	-32768	-4229	
36548	40	0.00	34	74.72	16.60	1	-13	3	1658	-26803	1201	
36668	40	0.00	43	81.90	16.60	1	-12	4	-2129	-28545	1324	
36788	40	0.00	52	88.10	16.60	0	-12	4	2772	-25610	465	
36908	40	0.00	61	95.02	16.60	1	-10	1	-3141	-26468	954	
37034	40	0.00	69	102.67	16.60	1	-10	0	1791	-20906	1565	
37154	40	0.00	77	108.79	16.60	0	-9	3	-847	-23161	-1053	
37275	40	0.00	84	115.81	16.70	1	-7	1	299	-18949	1818	
37396	40	0.00	92	122.66	16.70	0	-7	4	1763	-19429	755	
37517	40	0.00	99	127.44	16.70	0	-6	3	-863	-19890	816	
37638	40	0.00	106	133.49	16.60	0	-7	0	-181	-17126	1130	
37760	40	0.00	112	138.91	16.60	0	-6	2	1246	-15765	-1537	
37884	40	0.00	119	145.68	16.70	2	-6	0	-947	-15383	-184	
38006	40	0.00	125	151.11	16.60	0	-7	1	1135	-14202	1471	
38135	40	0.00	131	156.62	16.60	0	-4	1	-28	-14930	166	
38258	40	0.00	137	161.78	16.60	0	-4	2	-1508	-14994	-703	
38381	40	0.00	143	166.85	16.60	1	-3	2	977	-12446	696	
38505	40	0.00	149	171.83	16.60	0	-4	0	1086	-11423	553	
38628	40	0.00	154	176.27	16.60	1	-4	0	-961	-12910	139	
38751	40	0.00	159	180.08	16.60	0	-3	1	-1346	-12161	667	
38874	40	0.00	164	184.71	16.60	0	-3	0	-168	-11455	-210	
38997	40	0.00	169	189.15	16.60	0	-2	1	515	-11118	-889	
39120	40	0.00	174	193.42	16.60	0	-2	1	-852	-10885	-737	
39250	40	0.00	179	198.23	16.60	1	-2	0	-174	-8705	1097	
39372	40	0.00	183	201.50	16.60	0	-2	0	-141	-8776	1269	
39551	40	0.00	188	206.68	16.60	0	-1	0	-1775	-9292	-314	
39674	40	0.00	192	209.96	16.50	0	-1	0	-2327	-10091	-676	
39796	40	0.00	196	213.32	16.50	0	-1	0	-711	-8182	-626	
39919	40	0.00	200	216.60	16.50	0	-1	1	1269	-6975	-62	
40042	40	0.00	204	219.32	16.50	0	-1	0	151	-6914	369	
40165	40	0.00	208	222.51	16.50	0	-1	1	-1161	-8082	805	
40288	40	0.00	211	225.52	16.50	0	0	0	-1933	-8166	1208	
40411	40	0.00	214	228.07	16.50	0	0	0	-2083	-8029	1031	
40541	40	0.00	218	231.07	16.50	0	0	0	-1715	-7474	736	
40665	40	0.00	221	233.35	16.50	0	0	0	-1222	-6303	377	
40788	40	0.00	224	235.63	16.50	0	0	0	-890	-6095	371	
40909	40	0.00	226	237.91	16.50	0	0	0	-555	-5646	519	
41032	40	0.00	229	240.28	16.50	0	0	0	-452	-5188	971	
41155	40	0.00	231	241.56	16.50	0	0	0	-339	-5123	1397	
41278	40	0.00	234	243.47	16.50	0	0	0	-208	-4477	1812	
41401	40	0.00	236	244.48	16.50	0	0	0	53	-3564	2304	
41524	40	0.00	238	246.03	16.50	0	0	0	208	-3383	2645	
41654	40	0.00	240	247.21	16.50	0	0	0	269	-3174	2939	
41777	40	0.00	241	248.22	16.50	0	0	0	148	-3177	3348	
41900	40	0.00	243	249.68	16.50	0	0	0	107	-2928	3633	
42023	40	0.00	244	249.31	16.50	0	0	0	84	-2633	3883	
42144	40	0.00	245	250.41	16.50	0	0	0	61	-2369	4078	
42267	40	0.00	246	250.59	16.50	0	0	0	103	-1467	4298	
42390	40	0.00	247	251.59	16.50	0	0	0	166	-600	4438	
42513	40	0.00	248	251.50	16.50	0	0	0	331	-1249	4370	
42636	40	0.00	249	252.51	16.50	1	0	0	604	-3219	3991	
42760	40	0.00	249	252.14	16.50	1	0	0	988	-1758	3323	
42889	40	0.00	250	252.23	16.50	1	0	0	1154	6633	2439	
43012	40	0.00	250	252.78	16.50	2	0	0	1545	7909	1190	
43135	40	0.00	251	252.51	16.50	2	0	0	2574	-4579	-767	
43258	40	0.00	251	252.05	16.50	2	0	0	2418	-22350	-4449	
43380	40	0.00	251	251.41	16.50	3	0	-1	5	-10382	-9197	
43506	40	0.00	251	250.32	16.50	4	0	-2	-256	20539	-12837	
43633	40	0.00	250	250.41	16.50	2	0	0	8067	32767	-11911	
43759	40	0.00	250	248.95	16.50	2	0	2	10872	30202	-3981	
43885	40	0.00	250	247.85	16.50	0	0	2	8854	32767	3185	
44018	40	0.00	249	247.03	16.60	0	0	2	1305	32767	6957	
44144	60	0.00	249	247.40	16.50	0	0	3	-4955	24397	3536	
44267	60	0.00	250	258.08	16.60	-1	0	2	-6355	11305	-1329	
44390	60	0.00	249	244.38	16.50	-1	0	6	-5551	-1471	-4774	
