Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
30541	20	0.00	2	2.17	29.80	0	-7	0	-353	-578	21	
30650	20	0.00	1	1.48	29.80	0	-7	0	-234	-221	35	
30764	20	0.00	1	2.00	29.80	0	-7	0	-282	-390	-42	
30872	20	0.00	1	2.00	29.80	0	-8	0	-282	-76	-44	
30980	20	0.00	1	1.91	29.80	0	-8	0	-309	80	93	
31088	20	0.00	2	2.26	29.80	0	-8	0	-293	218	137	
31196	20	0.00	2	2.09	29.80	0	-8	0	-312	-253	-107	
31305	20	0.00	2	2.09	29.80	0	-7	0	-217	-552	-134	
31412	20	0.00	2	2.00	29.80	0	-8	0	-245	-251	90	
31521	20	0.00	2	2.00	29.80	0	-8	0	-279	21	109	
31629	20	0.00	2	2.00	29.80	0	-7	0	-226	-222	-27	
31737	20	0.00	1	1.48	29.80	0	-7	0	-233	-398	-185	
31846	20	0.00	1	2.26	29.80	0	-8	0	-326	-132	35	
31960	20	0.00	1	1.83	29.80	0	-8	0	-239	90	175	
32068	20	0.00	1	2.09	29.80	0	-8	0	-303	-291	-23	
32175	20	0.00	1	2.00	29.80	0	-7	0	-275	-558	-203	
32284	20	0.00	1	1.91	29.80	0	-8	0	-146	-468	-93	
32391	20	0.00	2	2.35	29.80	0	-7	0	-343	106	124	
32500	20	0.00	2	2.44	29.80	0	-8	0	-288	-396	28	
32608	20	0.00	2	2.00	29.80	0	-7	0	-171	-205	-204	
32716	20	0.00	2	1.91	29.80	0	-7	0	-244	-479	-108	
32825	20	0.00	2	2.00	29.80	0	-7	0	-367	-87	108	
32933	20	0.00	2	2.17	29.80	0	-8	0	-251	-320	36	
33041	20	0.00	2	1.91	29.80	0	-7	0	-237	-316	-143	
33155	20	0.00	2	2.00	29.80	0	-8	0	-314	-506	-56	
33263	20	0.00	2	2.09	29.80	0	-8	0	-283	-63	127	
33371	20	0.00	1	1.74	29.80	0	-7	0	-271	-125	96	
33479	20	0.00	1	2.00	29.80	0	-8	0	-312	-498	-86	
33587	20	0.00	2	2.44	29.80	0	-8	0	-196	-260	-89	
33696	20	0.00	2	1.74	29.80	0	-7	0	-270	-183	23	
33803	20	0.00	2	2.17	29.80	0	-8	0	-278	-257	90	
33912	20	0.00	2	1.91	29.80	0	-8	0	-221	-261	-27	
34021	20	0.00	2	2.09	29.80	0	-8	0	-238	-508	-136	
34128	20	0.00	2	2.09	29.80	0	-8	0	-250	-394	-59	
34243	20	0.00	2	2.35	29.80	0	-7	0	-263	-231	36	
34350	20	0.00	2	2.17	29.80	0	-8	0	-293	-419	-20	
34459	20	0.00	2	2.09	29.80	0	-8	0	-212	-135	3	
34566	20	0.00	2	1.56	29.80	0	-7	0	-277	-128	24	
34675	20	0.00	1	1.91	29.80	0	-8	0	-288	-242	48	
34782	20	0.00	1	1.83	29.80	0	-7	0	-228	-289	10	
34891	20	0.00	1	2.17	29.80	0	-8	0	-236	-447	-57	
35000	20	0.00	2	2.35	29.80	0	-8	0	-291	-420	-39	
35107	20	0.00	2	2.26	29.80	0	-7	0	-274	-165	19	
35216	20	0.00	2	1.65	29.80	0	-7	0	-249	-224	45	
