Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
16953	20	0.00	0	0.45	20.80	0	7	0	-257	-73	46	
17063	20	0.00	0	0.01	20.90	0	7	0	-231	-198	1	
17225	20	0.00	0	0.45	20.80	0	7	0	-209	-192	-3	
17335	20	0.00	0	0.01	20.90	0	7	0	-269	-340	47	
17445	20	0.00	0	0.10	20.80	0	7	0	-239	-130	-44	
17555	20	0.00	0	0.45	20.90	0	7	0	-184	-155	0	
17665	20	0.00	0	0.18	20.90	0	7	0	-253	-257	0	
17775	20	0.00	0	0.01	20.90	0	7	0	-243	-200	-66	
17884	20	0.00	0	-0.34	20.90	0	7	0	-226	-323	-3	
18002	20	0.00	0	0.36	20.90	0	7	0	-247	-242	-23	
18112	20	0.00	0	-0.25	20.90	0	7	0	-262	-307	-1	
18223	20	0.00	0	0.27	20.90	0	7	0	-237	-236	-53	
18333	20	0.00	0	-0.08	20.90	0	7	0	-221	-211	-18	
18443	20	0.00	0	-0.08	20.90	0	7	0	-264	-352	8	
18554	20	0.00	0	0.18	20.90	0	7	0	-217	-200	-45	
18665	20	0.00	0	0.18	20.90	0	7	0	-208	-82	-33	
18774	20	0.00	0	0.45	20.90	0	7	0	-286	81	43	
18884	20	0.00	0	-0.17	20.90	1	7	0	274	1493	220	
18995	20	0.00	0	0.01	20.90	1	8	0	-275	-2454	-16	
19105	20	0.00	0	-0.52	20.90	0	7	0	-216	-956	28	
19223	20	0.00	0	0.18	20.90	0	7	0	-232	-370	-11	
19333	20	0.00	0	0.01	20.90	0	8	0	-197	-417	53	
19443	20	0.00	0	-0.08	20.90	0	7	0	-278	-189	-33	
19553	20	0.00	0	0.01	20.90	0	7	0	-282	-210	7	
19664	20	0.00	0	0.36	20.90	0	7	0	-107	54	-12	
19774	20	0.00	0	-0.25	20.90	0	7	0	-225	-236	-15	
19884	20	0.00	0	0.27	20.90	0	7	0	-318	-423	-50	
19994	20	0.00	0	-0.43	20.90	0	7	0	-176	-51	-12	
20105	20	0.00	0	0.18	20.90	0	7	0	-129	174	-61	
20215	20	0.00	0	0.10	20.90	0	7	0	-331	-756	17	
20332	20	0.00	0	0.01	20.90	0	7	0	-191	-145	-29	
20441	20	0.00	0	-0.25	20.90	0	7	0	-140	46	-27	
20552	20	0.00	0	0.01	20.90	0	7	0	-300	-586	51	
20662	20	0.00	0	0.36	20.90	0	7	0	-255	-368	-41	
20772	20	0.00	0	-0.52	20.90	0	7	0	-141	70	-63	
20883	20	0.00	0	0.45	20.90	0	7	0	-253	-369	5	
20993	20	0.00	0	-0.08	20.90	0	7	0	-291	-408	-7	
21104	20	0.00	0	-0.34	20.90	0	7	0	-186	-192	-22	
21215	20	0.00	0	0.10	20.90	0	7	0	-258	-275	-18	
21325	20	0.00	0	0.71	20.90	0	7	0	-273	-1197	0	
21434	20	0.00	0	0.45	20.90	1	6	0	-617	-3956	-114	
21551	20	0.00	0	0.27	20.90	0	7	0	-151	-298	100	
21662	20	0.00	0	0.36	20.90	0	7	0	-238	-887	158	
21771	20	0.00	0	0.27	20.90	0	7	0	-130	-261	-105	
21881	20	0.00	0	-0.08	20.90	0	7	0	-191	195	-19	
21992	20	0.00	0	0.10	20.90	1	7	0	-326	-506	23	
22102	20	0.00	0	-0.17	20.90	0	7	0	-158	188	-39	
22213	20	0.00	0	-0.43	20.90	0	7	0	-235	-87	33	
22323	20	0.00	0	-0.52	20.90	1	7	0	-303	-789	-34	
22435	20	0.00	0	0.10	20.90	0	7	0	-222	4	-43	
22544	20	0.00	0	0.01	20.90	1	7	0	-158	1226	17	
22654	20	0.00	0	0.01	20.90	0	7	0	-208	1177	-117	
22771	20	0.00	0	-0.34	20.90	0	7	0	-317	-815	26	
22882	20	0.00	0	-0.25	20.90	1	7	0	-364	-892	-117	
23045	20	0.00	0	-0.08	20.90	1	7	0	-21	-383	14	
23156	20	0.00	0	-0.52	21.00	0	7	0	-284	-895	-124	
23266	20	0.00	0	-0.08	20.90	0	7	0	-416	-1596	-9	
23378	20	0.00	0	-0.52	21.00	0	7	0	-94	571	-45	
23489	20	0.00	0	0.36	20.90	0	7	0	-215	-669	33	
23598	20	0.00	0	-0.08	21.00	1	7	0	-366	-1096	-103	
23710	20	0.00	0	0.01	21.00	0	7	0	-215	215	-44	
23819	20	0.00	0	0.10	21.00	0	7	0	-170	280	130	
23936	20	0.00	0	0.18	21.00	1	7	0	-249	-92	-120	
24047	20	0.00	0	0.10	21.00	0	7	0	-332	-1260	-62	
24156	20	0.00	0	0.45	21.00	1	7	0	-159	729	103	
24266	20	0.00	0	0.36	21.00	0	7	0	-161	100	-75	
24375	20	0.00	0	0.45	21.00	0	7	0	-277	-412	-48	
24486	20	0.00	0	0.27	21.00	0	7	0	-282	-1147	14	
24596	20	0.00	0	0.45	21.00	0	7	0	-141	1006	8	
24705	20	0.00	0	0.27	21.00	0	7	0	-230	-295	-2	
24816	20	0.00	0	0.36	21.00	0	7	0	-284	-573	-44	
24925	20	0.00	0	0.36	21.00	0	7	0	-301	-875	7	
25035	20	0.00	0	-0.08	21.00	0	7	0	-217	-427	2	
25153	20	0.00	0	0.27	21.00	0	7	0	-242	-82	-43	
25262	20	0.00	0	0.01	21.00	0	7	0	-229	-360	4	
25372	20	0.00	0	-0.52	21.00	0	7	0	-191	-157	8	
25483	20	0.00	0	-0.08	21.00	0	7	0	-246	-309	-17	
25594	20	0.00	0	0.18	21.00	0	7	0	-277	-413	-28	
25704	20	0.00	0	-0.25	21.00	0	7	0	-217	-138	12	
25815	20	0.00	0	-0.17	21.00	0	7	0	-209	-114	-13	
25927	20	0.00	0	-0.34	21.00	0	7	0	-261	-325	-13	
26037	20	0.00	0	0.01	21.00	0	7	0	-219	-233	-5	
26147	20	0.00	0	0.27	21.00	0	7	0	-209	-184	-3	
26256	20	0.00	0	0.10	21.00	0	7	0	-272	-297	-23	
26373	20	0.00	0	0.01	21.00	0	7	0	-249	-323	-46	
26483	20	0.00	0	0.01	21.00	0	7	0	-207	-198	6	
26593	20	0.00	0	0.10	21.00	0	7	0	-227	-265	-13	
26703	20	0.00	0	0.27	21.00	0	7	0	-250	-307	-21	
26812	20	0.00	0	0.36	21.00	0	7	0	-199	-166	-10	
26923	20	0.00	0	0.18	21.00	0	7	0	-212	-230	-5	
27033	20	0.00	0	0.01	21.00	0	7	0	-265	-349	-22	
27142	20	0.00	0	-0.34	21.00	0	7	0	-223	-192	-23	
27253	20	0.00	0	0.36	21.00	0	7	0	-201	-199	-9	
27363	20	0.00	0	-0.08	21.00	0	7	0	-268	-291	-16	
27474	20	0.00	0	0.18	21.00	0	7	0	-235	-248	-33	
27591	20	0.00	0	-0.60	21.00	0	7	0	-188	-214	-2	
27701	20	0.00	0	-0.17	21.00	0	7	0	-253	-262	-6	
27813	20	0.00	0	0.01	21.00	0	8	0	-234	-266	3	
27923	20	0.00	0	-0.17	21.00	0	7	0	-183	-230	-4	
28033	20	0.00	0	-0.43	21.00	0	7	0	-248	-242	-1	
28145	20	0.00	0	-0.08	21.00	0	7	0	-262	-318	-29	
28255	20	0.00	0	-0.43	21.00	0	7	0	-202	-167	-23	
28367	20	0.00	0	-0.60	21.00	0	7	0	-254	-243	-4	
28478	20	0.00	0	-0.25	21.00	0	7	0	-235	-290	-25	
28588	20	0.00	0	-0.60	21.00	0	7	0	-239	-267	-31	
28757	20	0.00	0	0.01	21.00	0	7	0	-237	-203	14	
28867	20	0.00	0	-0.17	21.00	0	7	0	-247	-282	-9	
28978	20	0.00	0	0.18	21.00	0	7	0	-212	-184	-29	
29088	20	0.00	0	0.45	21.00	0	7	0	-199	-182	-5	
29197	20	0.00	0	-0.25	21.00	0	7	0	-246	-276	-38	
29309	20	0.00	0	-0.08	21.00	0	7	0	-245	-241	-17	
29420	20	0.00	0	-0.25	21.00	0	7	0	-211	-235	0	
29530	20	0.00	0	-0.52	21.00	0	7	0	-262	-270	-25	
29642	20	0.00	0	0.10	21.00	0	7	0	-238	-273	-23	
29751	20	0.00	0	-0.08	21.00	0	7	0	-219	-152	-21	
29863	20	0.00	0	-0.17	21.00	0	7	0	-228	-211	-19	
29981	20	0.00	0	0.10	21.00	0	7	0	-274	-274	-20	
30090	20	0.00	0	-0.34	21.00	0	7	0	-221	-204	-19	
30201	20	0.00	0	-0.08	21.00	0	7	0	-224	-247	-30	
30313	20	0.00	0	0.18	21.00	0	7	0	-249	-257	-10	
30422	20	0.00	0	0.01	21.00	0	7	0	-241	-200	-6	
30532	20	0.00	0	0.27	21.00	0	7	0	-219	-220	-11	
30641	20	0.00	0	-0.34	21.00	0	7	0	-252	-288	-30	
30753	20	0.00	0	0.53	21.00	0	7	0	-210	-263	-14	
30862	20	0.00	0	-0.17	21.00	0	7	0	-200	-229	-20	
30973	20	0.00	0	0.01	21.00	0	7	0	-254	-256	14	
31084	20	0.00	0	0.18	21.00	0	7	0	-264	-269	-39	
31191	20	0.00	0	-0.08	21.00	0	7	0	-216	-228	-15	
31303	20	0.00	0	-0.17	21.00	0	7	0	-235	-213	-2	
31413	20	0.00	0	0.36	21.00	0	7	0	-259	-241	-29	
31523	20	0.00	0	-0.17	21.00	0	7	0	-210	-188	-10	
31635	20	0.00	0	0.18	21.00	0	7	0	-212	-237	-14	
31744	20	0.00	0	0.45	21.00	0	7	0	-249	-328	-18	
31855	20	0.00	0	0.18	21.10	0	7	0	-240	-256	-25	
31964	20	0.00	0	0.36	21.00	0	7	0	-234	-270	26	
32074	20	0.00	0	0.27	21.10	0	7	0	-235	-256	-22	
32184	20	0.00	0	-0.87	21.00	0	7	0	-237	-284	-26	
32301	20	0.00	0	0.80	21.10	0	7	0	-224	-202	-7	
32412	20	0.00	0	0.18	21.10	0	7	0	-238	-240	-30	
32521	20	0.00	0	0.01	21.00	0	7	0	-217	-251	-24	
32631	20	0.00	0	-0.25	21.10	0	7	0	-229	-229	3	
32741	20	0.00	0	-0.17	21.10	0	7	0	-239	-255	4	
32853	20	0.00	0	-0.25	21.10	0	7	0	-257	-239	-27	
32964	20	0.00	0	0.10	21.10	0	7	0	-238	-237	-20	
33073	20	0.00	0	0.01	21.10	0	7	0	-240	-271	3	
33184	20	0.00	0	0.18	21.10	0	7	0	-229	-261	-13	
33293	20	0.00	0	0.01	21.10	0	7	0	-231	-224	-8	
33403	20	0.00	0	-0.25	21.10	0	7	0	-224	-185	-19	
33522	20	0.00	0	0.10	21.10	0	7	0	-250	-229	-29	
33631	20	0.00	0	0.27	21.10	0	7	0	-260	-234	-5	
33741	20	0.00	0	-0.34	21.10	0	7	0	-254	-252	-16	
